Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
,,-15273800000.0,111.72,7.5,1.52,8.9,129.9798,-19.0,113.34,100.3
,,-16327500000.0,112.55,7.5,2.06,9.7,125.5763,-21.3,122.71,101.1
572982.2,1.54351395730767,-18349500000.0,112.87,7.3,1.71,8.5,124.4334,-21.8,111.93,99.6
,,-19605200000.0,113.38,7.2,1.69,8.2,131.2108,-18.8,100.45,102.1
,,-19244500000.0,112.74,7.1,2.41,4.8,122.3563,-22.3,89.76,102.0
575034.4,-0.582335813652879,-14199800000.0,113.9,7.2,2.77,4.3,122.0579,-20.8,93.33,99.7
,,-16577900000.0,114.26,7.1,2.58,3.2,132.5722,-18.7,91.42,100.8
,,-17977900000.0,114.16,7.2,2.62,3.3,133.3017,-20.5,80.92,101.7
575469.1,-1.61550888529886,-14249400000.0,114.6,7.1,2.69,5.1,140.3376,-20.5,82.5,100.3
,,-11844500000.0,115.78,7.1,2.87,6.1,145.8957,-21.4,82.59,101.7
,,-9998800000.0,116.79,7.1,2.92,1.7,144.2838,-20.7,78.43,100.2
580575.7,-3.05073859987121,-12070300000.0,117.5,7.3,2.9,1.6,149.3531,-18.9,84.64,100.7
,,-9783000000.0,117.44,7.3,2.94,1.0,147.7678,-17.2,75.47,103.1
,,-9256300000.0,117.65,7.3,2.93,1.4,145.6694,-14.8,74.84,101.8
581933.8,-2.03751617076326,-10833900000.0,117.71,7.4,3.04,0.5,147.224,-14.1,80.11,101.6
,,-10964600000.0,118.89,7.4,3.11,-1.7,146.1968,-14.8,86.15,101.9
,,-10771200000.0,118.26,7.4,3.24,-1.5,144.7303,-15.8,93.72,101.7
584389.9,-0.715912788805528,-10341300000.0,118.43,7.5,3.45,-1.4,139.0498,-16.7,90.6,101.7
,,-8148099999.999999,118.23,7.5,3.19,-1.0,142.87,-13.5,82.94,101.8
,,-9589500000.0,118.39,7.6,2.65,-1.9,150.0132,-13.4,77.63,102.2
585026.5,1.11658456486099,-7863800000.0,118.19,7.6,2.74,-0.1,149.1633,-11.6,80.12,101.6
,,-8120500000.0,119.21,7.5,2.85,-3.1,154.375,-14.6,83.48,101.9
,,-7774600000.0,119.47,7.4,2.82,1.3,160.8532,-13.5,85.41,101.5
586251.2,1.65617754223168,-9424300000.0,120.07,7.3,2.97,-2.5,160.2584,-15.5,89.94,102.4
,,-10290900000.0,120.11,7.4,3.03,3.4,161.4058,-13.7,81.75,100.9
,,-7826200000.0,120.2,7.5,3.15,0.2,154.1965,-14.5,82.25,101.3
588481.9,3.20237702211927,-7167600000.0,120.42,7.5,3.14,-4.6,150.8303,-15.3,85.15,101.3
,,-9878500000.0,121.06,7.4,2.94,-3.4,147.7044,-12.9,80.36,101.9
,,-10264400000.0,119.56,7.4,2.9,-3.4,149.9538,-11.5,74.02,101.6
588314.3,2.45821042281216,-9202800000.0,119.89,7.3,2.99,-0.2,150.0533,-12.8,75.63,101.3
,,-9334900000.0,119.72,7.3,3.09,-2.8,145.2974,-15.2,74.35,101.0
,,-6591900000.0,119.95,7.2,3.01,-2.7,146.197,-17.6,73.86,100.8
589049.5,2.370899642741,-8807800000.0,120.14,7.3,3.32,-2.8,151.8135,-14.0,79.27,100.3
