Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
2019-12-01,,,-1526000000.0,102.1203,16.9,1.42,25.2,120.8732,-3.9,67.31,90.7
2020-01-01,47084.0,2.30518858655193,-1829300000.0,100.3992,16.6,1.34,21.2,125.482,-11.9,63.65,95.7
2020-02-01,,,-1870200000.0,99.89766,15.9,1.07,30.1,119.3113,-7.8,55.66,91.2
2020-03-01,,,-1512800000.0,101.4785,16.9,1.97,25.7,79.76472,-23.5,32.01,92.6
2020-04-01,40605.6,-10.3621500556903,-1182600000.0,101.0155,18.5,2.05,3.7,81.27935,-42.3,18.38,84.5
2020-05-01,,,-1278100000.0,100.1945,19.6,1.93,-41.9,82.93315,-40.1,29.38,85.8
2020-06-01,,,-1420800000.0,100.2388,20.3,1.32,-47.1,89.5443,-32.5,40.27,88.1
2020-07-01,43101.6,-2.46085530774862,-1620400000.0,98.53287,17.7,1.14,-35.0,86.3056,-36.1,43.24,90.5
2020-08-01,,,-1664400000.0,97.89494,16.9,1.08,-30.2,85.58409,-34.4,44.74,90.5
2020-09-01,,,-1540600000.0,99.8858,17.0,1.08,-30.4,86.22723,-40.5,40.91,92.1
2020-10-01,44200.2,-4.90398977371847,-1422800000.0,100.2342,17.7,0.9,-24.6,83.68709,-38.9,40.19,88.4
2020-11-01,,,-1411700000.0,99.3552,17.5,0.75,-23.7,90.078,-44.5,42.69,94.7
2020-12-01,,,-1317800000.0,99.75089,16.7,0.63,-23.6,106.3606,-37.3,49.99,94.6
2021-01-01,46053.8,-1.6736260431473,-1585200000.0,98.42724,16.0,0.65,-21.7,106.9308,-38.9,54.77,99.0
2021-02-01,,,-1166800000.0,98.63056,16.0,0.81,-13.6,104.7338,-43.4,62.28,94.8
2021-03-01,,,-1823800000.0,99.81734,16.6,0.91,-9.7,113.4906,-39.9,65.41,97.8
2021-04-01,46703.8,21.6034550565328,-1942500000.0,100.7251,17.2,0.88,-12.9,120.5773,-38.4,64.81,103.2
2021-05-01,,,-1726600000.0,100.3314,15.9,0.99,11.1,120.7773,-21.9,68.53,97.7
2021-06-01,,,-1968200000.0,101.2696,15.1,0.81,25.5,122.6635,-24.7,73.16,96.3
2021-07-01,48074.5,8.55620679820883,-2345000000.0,99.86414,14.1,0.7,27.1,117.4913,-31.4,75.17,98.4
2021-08-01,,,-2303200000.0,99.73395,14.1,0.59,31.1,121.7812,-32.0,70.75,100.4
2021-09-01,,,-2069700000.0,102.0951,13.3,0.8,34.5,121.1543,-37.5,74.49,102.5
2021-10-01,48703.7,14.9104469548353,-2358100000.0,103.6557,13.1,0.96,39.5,120.6287,-39.8,83.54,103.3
2021-11-01,,,-2800200000.0,104.1469,13.2,1.22,45.4,122.1825,-38.5,81.05,103.3
2021-12-01,,,-2778000000.0,104.8531,12.9,1.29,34.4,119.8815,-38.2,74.17,103.4
2022-01-01,49620.4,10.7073361951732,-3025400000.0,104.5787,13.1,1.62,33.7,125.7387,-40.5,86.51,98.5
2022-02-01,,,-3565700000.0,105.7458,13.1,2.46,42.2,127.7276,-38.9,97.13,100.4
2022-03-01,,,-2437400000.0,108.6512,12.7,2.61,37.2,114.535,-51.4,117.25,106.7
2022-04-01,49716.6,1.68743935924888,-3201700000.0,110.9716,12.5,2.89,19.5,124.1714,-55.3,104.58,98.7
2022-05-01,,,-3320900000.0,111.6983,12.9,3.54,21.6,118.1493,-51.3,113.34,101.8
2022-06-01,,,-3237500000.0,113.5169,12.5,3.93,19.3,115.1349,-52.5,122.71,105.4
2022-07-01,50228.9,2.51646378979914,-3145000000.0,111.4391,12.8,3.38,19.0,109.452,-55.3,111.93,105.8
2022-08-01,,,-2809900000.0,111.1074,12.3,3.46,23.6,118.6128,-54.2,100.45,106.5
2022-09-01,,,-3568600000.0,114.371,12.1,4.44,39.8,111.2761,-51.2,89.76,101.6
2022-10-01,50690.3,-0.697405443580791,-4331900000.0,113.0521,11.7,4.87,12.8,113.2798,-57.9,93.33,100.1
2022-11-01,,,-3561600000.0,113.0404,11.5,4.42,20.3,120.8408,-51.9,91.42,102.6
2022-12-01,,,-2863900000.0,112.4277,12.0,4.22,26.4,123.9471,-47.9,80.92,102.0
2023-01-01,50701.1,-2.21885738967652,-2333200000.0,111.8879,10.6,4.29,19.1,132.0904,-41.4,82.5,100.3
2023-02-01,,,-2350300000.0,112.2241,11.2,4.26,18.0,146.3842,-47.4,82.59,105.6
2023-03-01,,,-2175300000.0,113.6197,11.6,4.29,18.1,142.9279,-41.1,78.43,107.4
2023-04-01,51264.5,-4.51402112940654,-2613700000.0,114.3443,11.4,4.22,36.5,147.607,-44.6,84.64,103.1
2023-05-01,,,-2980500000.0,114.8052,11.2,3.98,34.1,155.4193,-34.5,75.47,104.2
2023-06-01,,,-2641400000.0,115.5154,11.6,3.71,35.4,169.6211,-31.0,74.84,102.0
2023-07-01,51121.1,-3.17395614933537,-2714900000.0,114.1926,11.6,3.85,43.0,178.1928,-28.6,80.11,103.4
2023-08-01,,,-2921500000.0,114.1563,11.4,3.88,36.9,175.8648,-35.4,86.15,106.7
2023-09-01,,,-2763600000.0,116.2341,10.9,4.08,29.9,167.1472,-45.0,93.72,104.0
2023-10-01,51472.4,-3.05304783167146,-2491500000.0,116.8946,10.7,4.3,31.2,158.3621,-44.7,90.6,110.5
2023-11-01,,,-2611100000.0,116.4647,10.0,3.88,36.4,167.4525,-45.6,82.94,106.1
2023-12-01,,,-3379000000.0,116.3641,10.4,3.28,40.6,173.8178,-40.3,77.63,106.2
2024-01-01,51604.4,-4.24529946864567,-2327800000.0,115.393,11.7,3.29,37.5,180.8991,-46.3,80.12,110.2
2024-02-01,,,-3158400000.0,115.5029,11.6,3.45,37.6,189.9112,-47.2,83.48,107.6
2024-03-01,,,-2586300000.0,117.2848,10.8,3.37,39.3,191.7947,-44.7,85.41,106.9
2024-04-01,52199.8,2.64729144461147,-3030300000.0,117.8533,10.8,3.49,45.4,190.5382,-41.7,89.94,114.8
2024-05-01,,,-3401000000.0,117.5477,10.5,3.55,47.8,198.6842,-43.8,81.75,111.3
2024-06-01,,,-2694000000.0,118.1286,8.9,3.65,47.3,193.1094,-42.7,82.25,112.3
2024-07-01,52364.8,-2.47293909129008,-2714100000.0,117.2665,9.7,3.5,36.7,196.3184,-43.9,85.15,114.5
2024-08-01,,,-2933300000.0,117.5666,9.5,3.31,40.4,191.4097,-48.1,80.36,110.7
2024-09-01,,,-3084700000.0,119.6501,9.6,3.19,42.2,194.2727,-51.3,74.02,106.5
2024-10-01,52628.5,-1.77092571937108,-3123500000.0,119.6732,9.6,3.16,41.1,191.4732,-50.3,75.63,107.6
2024-11-01,,,-3310300000.0,119.2184,9.5,3.19,26.6,189.6059,-47.3,74.35,109.8
2024-12-01,,,-3100900000.0,119.36,9.3,3.05,33.1,196.394,-44.5,73.86,112.5
2025-01-01,52842.0,3.12815355623571,-2769300000.0,118.5539,9.8,3.35,31.7,204.8819,-43.4,79.27,111.2
